Sno,Album_Name,Album_Price,Artist_Name,CopyRight,Customer_Rating,Genre,Price,Released,Song_Name,Time,Group
278,The Reason - EP,$3.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.66667,"Alternative,Music,Rock,Adult Alternative,Electronic",$1.29 ,10-Aug-15,Shining,3:40,Alternative
279,The Reason - EP,$3.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.66667,"Alternative,Music,Rock,Adult Alternative,Electronic",$1.29 ,10-Aug-15,Shining,3:40,Alternative
280,The Reason - EP,$3.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.66667,"Alternative,Music,Rock,Adult Alternative,Electronic",$1.29 ,10-Aug-15,Shining,3:40,Alternative
281,Jungle (The MADE Edit) - Single,$1.29 ,X Ambassadors & Jamie N Commons, 2014 KIDinaKORNER/Interscope Records,4.5,"Alternative,Music",$1.29 ,30-Sep-14,Jungle (The MADE Edit),4:34,Alternative
282,Love Songs Drug Songs - EP,$7.74 ,X Ambassadors, 2013 KIDinaKORNER/Interscope Records,4.92708,"Alternative,Music,Rock,Adult Alternative",$1.29 ,7-May-13,Brother,3:48,Alternative
283,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.55432,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25,Alternative
284,Jungle (Remix) [feat. JAY Z] - Single,$1.29 ,X Ambassadors & Jamie N Commons, 2014 KIDinaKORNER/Interscope Records,4.12903,"Alternative,Music",$1.29 ,23-Jun-14,Jungle (Remix) [feat. JAY Z],3:27,Alternative
285,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.55432,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25,Alternative
286,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.54839,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25,Alternative
287,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.55432,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25,Alternative
288,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.55432,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25,Alternative
289,VHS,$7.99 ,X Ambassadors, 2015 KIDinaKORNER/Interscope Records,4.55432,"Alternative,Music,Rock,Adult Alternative",$1.29 ,30-Jun-15,VHS Outro (Interlude),1:25,Alternative
290,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
291,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
292,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
293,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
294,Pump It Up - Beach Workout,$9.99 ,Monkey Safari, 2014 Ministry of Sound Recordings Ltd,4.16667,"Fitness & Workout,Music",$1.29 ,18-May-14,Coming Down (Hi-Life) [PIU Beach Edit] [Extended Mix],3:45,Other
295,The Future Sound of EDM: Krewella - Ministry of Sound,$9.99 ,RIOT, 2014 Ministry of Sound Recordings Ltd,4.18182,"Dance,Music",$1.29 ,22-Jun-14,Redeemer (FSOEDM Edit),2:48,Dance
296,"Runtastic Music - Running, Vol. 2",$9.99 ,Seinabo Sey," 2014 Universal Music Strategic Marketing, a division of Universal Music GmbH",4.07692,"Fitness & Workout,Music",Album Only,12-Sep-14,Younger (Kygo Remix),5:52,Other
297,Until the Morning 2,$10.99 ,black eyed peas, 2014 BY Music,4.05556,"Pop,Music",$1.29 ,4-Aug-14,I Gotta Feeling,4:49,Pop
298,Running Trax 2014 - Ministry of Sound,$9.99 ,Mark Knight, 2013 Ministry of Sound Recordings Ltd,3.62791,"Fitness & Workout,Music",$1.29 ,18-Dec-13,Man With the Red Face (Running Trax 2014 Edit) [feat. Funkagenda] [Hardwell Remix],4:47,Other
299,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
300,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
301,Our Version of Events,$9.99 ,Emeli Sandí©,  2012 The copyright in this sound recording is owned by Virgin Records Ltd,4.76471,"Pop,Music,Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Adult Contemporary",$1.29 ,5-Jun-12,Tiger,2:58,Pop
302,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
303,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
304,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
305,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
306,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
307,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
308,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
309,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
310,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
311,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
312,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
313,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
314,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
315,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
316,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
317,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
318,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
319,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
320,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
321,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
322,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
323,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
324,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
325,Our Version of Events,$7.99 ,Emeli Sandí©,  2012 The copyright in this sound recording is owned by Virgin Records Ltd,5,"Pop,Music,Rock,Adult Alternative,R&B/Soul,Vocal,Contemporary R&B,Singer/Songwriter,Contemporary Singer/Songwriter,Adult Contemporary",$1.29 ,5-Jun-12,Tiger,2:58,Pop
326,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
327,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
328,Hotel Cabana,$9.99 ,Naughty Boy, 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.69565,"Pop,Music,R&B/Soul,Contemporary R&B,Hip-Hop/Rap,Pop/Rock,Rock",$1.29 ,6-May-14,Epilogue (feat. George the Poet),1:28,Pop
329,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
330,In the Lonely Hour (Deluxe Version),$13.99 ,Sam Smith, 2014 Capitol Records Ltd.,4.41922,"Pop,Music,R&B/Soul,Rock,Contemporary R&B,Adult Contemporary",$1.29 ,17-Jun-14,Make It To Me,2:40,Pop
331,Hotel Cabana (Deluxe Version),$11.99 ,Naughty Boy, 2013 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,3.57994,"Pop,Music,Rock,R&B/Soul,Contemporary R&B,Dance,Electronic,Hip-Hop/Rap,Pop/Rock",$1.29 ,6-May-14,Lifted (feat. Emeli Sandí© & Professor Green),4:15,Pop
332,Runnin' (Lose It All) [feat. Beyoncí© & Arrow Benjamin] - Single,$1.29 ,Naughty Boy, 2015 Naughty Boy under exclusive license to Virgin Records Ltd,4.4633,"Pop,Music",$1.29 ,17-Sep-15,Runnin' (Lose It All) [feat. Beyoncí© & Arrow Benjamin],3:33,Pop
333,Peace Is The Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4.47955,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
334,Peace Is The Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4.47955,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
335,Lean On (Remixes) [feat. MíÖ & DJ Snake] - EP,$3.99 ,Major Lazer, 2015 Mad Decent,4.58333,"Electronic,Music",$1.29 ,10-Jul-15,Lean On (Moska Remix) [feat. MíÖ & DJ Snake],4:07,Electronic
336,Peace Is the Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
337,Original Don (feat. The Partysquad) [Remixes] - EP,$2.99 ,Major Lazer, 2011 Downtown Records Unders exclusive license to Interscope Records in the U.S.A.,4.34524,"Electronic,Music,Dance",$1.29 ,1-Nov-11,Original Don (feat. The Partysquad) [The Partysquad & Punish Smash Em Remix],3:38,Electronic
338,Get Free - Single,$3.87 ,Major Lazer, 2013 Secretly Canadian / Mad Decent,4.8,"Electronic,Music,Dance,Rock,Electronica",$1.29 ,27-Feb-13,Get Free (Andy C remix),5:31,Electronic
339,Peace Is The Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4.47955,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
340,Lean On (Remixes) [feat. MíÖ & DJ Snake] - EP,$3.99 ,Major Lazer, 2015 Mad Decent,4.58333,"Electronic,Music",$1.29 ,10-Jul-15,Lean On (Moska Remix) [feat. MíÖ & DJ Snake],4:07,Electronic
341,Get Free - Single,$3.87 ,Major Lazer, 2013 Secretly Canadian / Mad Decent,4.8,"Electronic,Music,Dance,Rock,Electronica",$1.29 ,27-Feb-13,Get Free (Andy C remix),5:31,Electronic
342,Original Don (feat. The Partysquad) [Remixes] - EP,$2.99 ,Major Lazer, 2011 Downtown Records Unders exclusive license to Interscope Records in the U.S.A.,4.34524,"Electronic,Music,Dance",$1.29 ,1-Nov-11,Original Don (feat. The Partysquad) [The Partysquad & Punish Smash Em Remix],3:38,Electronic
343,Peace Is the Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
344,Lean On (Remixes) [feat. MíÖ & DJ Snake] - EP,$3.99 ,Major Lazer, 2015 Mad Decent,4.58333,"Electronic,Music",$1.29 ,10-Jul-15,Lean On (Moska Remix) [feat. MíÖ & DJ Snake],4:07,Electronic
345,Peace Is the Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
346,Lean On (Remixes) [feat. MíÖ & DJ Snake] - EP,$3.99 ,Major Lazer, 2015 Mad Decent,4.58333,"Electronic,Music",$1.29 ,10-Jul-15,Lean On (Moska Remix) [feat. MíÖ & DJ Snake],4:07,Electronic
347,Reggae Gold 2014,$9.99 ,Romain Virgo, 2014 VP Music Group Inc,2.11999,"Reggae,Music",$1.29 ,12-Aug-14,Soul Provider,4:15,Other
348,Peace Is The Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4.47955,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
349,Peace Is the Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
350,Peace Is the Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
351,Peace Is the Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
352,Peace Is the Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
353,Peace Is the Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
354,Lean On (Remixes) [feat. MíÖ & DJ Snake] - EP,$3.99 ,Major Lazer, 2015 Mad Decent,4.58333,"Electronic,Music",$1.29 ,10-Jul-15,Lean On (Moska Remix) [feat. MíÖ & DJ Snake],4:07,Electronic
355,Reggae Gold 2010,$9.99 ,Beres Hammond, 2010 VP Music Group (US),3.82979,"Reggae,Music",$0.99 ,21-Jun-10,No Apology,4:04,Other
356,Lazers Never Die - EP,$4.95 ,Major Lazer, 2010 Downtown Recordings LLC,4.16901,"Electronic,Music,Reggae,Modern Dancehall,Dance",$0.99 ,20-Jul-10,Jump Up (Thom Yorke Remix),4:46,Electronic
357,Lazers Never Die - EP,$4.95 ,Major Lazer, 2010 Downtown Recordings LLC,4.16901,"Electronic,Music,Reggae,Modern Dancehall,Dance",$0.99 ,20-Jul-10,Jump Up (Thom Yorke Remix),4:46,Electronic
358,Lazers Never Die - EP,$4.95 ,Major Lazer, 2010 Downtown Recordings LLC,4.16901,"Electronic,Music,Reggae,Modern Dancehall,Dance",$0.99 ,20-Jul-10,Jump Up (Thom Yorke Remix),4:46,Electronic
359,Lazers Never Die - EP,$4.95 ,Major Lazer, 2010 Downtown Recordings LLC,4.16901,"Electronic,Music,Reggae,Modern Dancehall,Dance",$0.99 ,20-Jul-10,Jump Up (Thom Yorke Remix),4:46,Electronic
360,Lazers Never Die - EP,$4.95 ,Major Lazer, 2010 Downtown Recordings LLC,4.16901,"Electronic,Music,Reggae,Modern Dancehall,Dance",$0.99 ,20-Jul-10,Jump Up (Thom Yorke Remix),4:46,Electronic
361,Tons of Friends,$9.99 ,Crookers & Edu K, 2010 - Southern Fried Records,4.3125,"Dance,Music,Electronic,Electronica,House,Jungle/Drum'n'bass,Techno",$1.29 ,8-Mar-10,Just Can't Get Enough,3:18,Dance
362,Original Don (feat. The Partysquad) [Remixes] - EP,$2.99 ,Major Lazer, 2011 Downtown Records Unders exclusive license to Interscope Records in the U.S.A.,4.34524,"Electronic,Music,Dance",$1.29 ,1-Nov-11,Original Don (feat. The Partysquad) [The Partysquad & Punish Smash Em Remix],3:38,Electronic
363,Original Don (feat. The Partysquad) [Remixes] - EP,$2.99 ,Major Lazer, 2011 Downtown Records Unders exclusive license to Interscope Records in the U.S.A.,4.34524,"Electronic,Music,Dance",$1.29 ,1-Nov-11,Original Don (feat. The Partysquad) [The Partysquad & Punish Smash Em Remix],3:38,Electronic
364,Colette Athletics,$9.99 ,Major Lazer, 2012 colette,5,"Alternative,Music",Album Only,21-Jun-12,Get Free (feat. Amber),4:48,Alternative
365,"Addicted to Bass Dubstep, Drum & Bass + Future Bass - Ministry of Sound",$9.99 ,Toddla T & Shola Ama, 2012 Ministry of Sound Recordings Limited,4.28571,"Dance,Music",$1.29 ,24-Sep-12,Alive (Sticky Remix),3:59,Dance
366,From Then Until Now,$10.99 ,Crookers, 2012 Southern Fried Records,4.125,"Dance,Music,Electronic",Album Only,29-Oct-12,From Then Until Now (Continuous Mix),1:19:48,Dance
367,Blow Your Head: Diplo Presents Dubstep,$9.99 ,Rusko, 2012 Mad Decent Protocol,4.71429,"Electronic,Music",$0.99 ,2-Nov-10,Hold On (feat. Amber Coffman) [Sub Focus Remix],4:27,Electronic
368,"Mad Decent, Vol. 1",$9.99 ,Major Lazer, 2012 Mad Decent Protocol,4,"Electronic,Music",$0.99 ,17-Oct-12,Keep It Going Louder (So Shifty Remix) [feat. Nina Sky & Ricky Blaze],3:53,Electronic
369,Get Free - Single,$3.87 ,Major Lazer, 2013 Secretly Canadian / Mad Decent,4.8,"Electronic,Music,Dance,Rock,Electronica",$1.29 ,27-Feb-13,Get Free (Andy C remix),5:31,Electronic
370,Defected Presents Chocolate Puma in the House,$6.99 ,Nick Fiorucci & SOUP, 2012 ITH Ltd,5,"Dance,Music",Album Only,12-Oct-12,New York London (Chocolate Puma Remix) [Nick Fiorucci vs. SOUP],6:29,Dance
371,"Mad Decent, Vol. 1",Partial Album,Major Lazer, 2011 Mad Decent,4.22222,"Electronic,Music",$0.99 ,11-Oct-11,Keep It Going Louder (So Shifty Remix),3:53,Electronic
372,Peace Is The Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4.47955,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
373,"The Hunger Games: Mockingjay, Pt. 1 (Original Motion Picture Soundtrack)",$11.99 ,James Newton Howard," 2014 Republic Records, a division of UMG Recordings, Inc.",4.12658,"Soundtrack,Music",$1.29 ,3-Dec-14,The Hanging Tree (feat. Jennifer Lawrence),3:38,Soundtrack
374,Peace Is The Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4.48885,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
375,Peace Is The Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4.47955,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
376,Peace Is the Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
377,Peace Is The Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4.47955,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
378,Peace Is The Mission,$7.99 ,Major Lazer, 2015 Mad Decent,4.47955,"Electronic,Music,Reggae,Modern Dancehall,Dance",$1.29 ,1-Jun-15,All My Love (feat. Ariana Grande & Machel Montano) [Remix],3:49,Electronic
379,Nick Jonas (Deluxe),$11.99 ,Nick Jonas," 2014 Island Records, a division of UMG Recordings, Inc. / Safehouse Records, LLC",4.63492,"Pop,Music,Rock,Pop/Rock",$1.29 ,10-Nov-14,Closer (feat. Mike Posner),3:48,Pop
380,Chains (Audien Radio Edit) - Single,$1.29 ,Nick Jonas," 2015 Island Records, a division of UMG Recordings, Inc. / Safehouse Records, LLC",4.5,"Dance,Music",$1.29 ,21-Apr-15,Chains (Audien Radio Edit),3:31,Dance
